addr	name	kind	module	class	attributed_by	size
00412940	cube::Database::Database	game	db	Database	rtti	16
00412950	cube::Database::Database	game	db	Database	rtti	34
00412980	vdispatch_412980	gamemisc	game_misc	_helpers_dispatch	role:dispatch	21
004129a0	FUN_004129a0	gamemisc	game_misc	Unsorted_000	none	43
004129d0	FUN_004129d0	gamemisc	game_misc	_helpers_dtor-like	role:dtor-like	234
00412ac0	cube::Database::scalar_deleting_destructor	game	db	Database	rtti	57
00412b00	FUN_00412b00	gamemisc	game_misc	Unsorted_000	none	95
00412b60	FUN_00412b60	gamemisc	entity	Helpers	caller-vote	109
00412bd0	FUN_00412bd0	gamemisc	entity	Helpers	caller-vote	107
00412c40	compute_412c40	gamemisc	game_misc	_helpers_computed	role:computed	12
00412c50	FUN_00412c50	gamemisc	game_misc	_helpers_wrapper	role:wrapper	28
00412c70	FUN_00412c70	gamemisc	game_misc	_helpers_dtor-like	role:dtor-like	131
00412d00	FUN_00412d00	gamemisc	game_misc	Unsorted_000	none	133
00412d90	FUN_00412d90	gamemisc	game_misc	_helpers_dtor-like	role:dtor-like	131
00412e20	FUN_00412e20	gamemisc	game_misc	Unsorted_000	none	347
00412f80	FUN_00412f80	gamemisc	world	Helpers	caller-vote	122
00413000	compute_413000	gamemisc	game_misc	_helpers_computed	role:computed	9
00413010	FUN_00413010	lib	_library	sqlite	lib-string	89
00413070	FUN_00413070	gamemisc	entity	Helpers	caller-vote	191
00413130	SpeechDb_loadBlobToVector	game	entity	Proven	ledger	78
00413180	FUN_00413180	gamemisc	entity	Helpers	caller-vote	120
00413200	compute_413200	gamemisc	game_misc	_helpers_computed	role:computed	6
00413210	FUN_00413210	gamemisc	world	Helpers	caller-vote	40
00413240	FUN_00413240	gamemisc	world	Helpers	caller-vote	379
004133c0	cube::Field::Field	game	world	Field	rtti	58
00413400	cube::Field::~Field	game	world	Field	rtti	21
00413420	resize_dword_array	gamemisc	game_misc	Game	ledger	306
00413560	vdispatch_413560	gamemisc	game_misc	_helpers_dispatch	role:dispatch	33
00413590	vdispatch_413590	gamemisc	game_misc	_helpers_dispatch	role:dispatch	61
004135d0	FUN_004135d0	gamemisc	world	_helpers_dtor-like	role:dtor-like	98
00413640	FUN_00413640	gamemisc	world	Helpers	caller-vote	139
004136d0	FUN_004136d0	gamemisc	entity	Helpers	caller-vote	61
00413710	ItemData_copy (0x118)	gamemisc	entity	Proven	ledger	163
004137c0	FUN_004137c0	gamemisc	game_misc	Unsorted_000	none	43
004137f0	FUN_004137f0	gamemisc	entity	Helpers	caller-vote	75
00413840	FUN_00413840	gamemisc	entity	Helpers	caller-vote	222
0041391e	Catch_All@0041391e	lib	_library	eh_funclets	eh	20
00413940	FUN_00413940	gamemisc	entity	Helpers	caller-vote	111
004139b0	FUN_004139b0	gamemisc	game_misc	Unsorted_000	none	197
00413aa0	FUN_00413aa0	gamemisc	game_misc	Unsorted_000	none	26
00413ac0	FUN_00413ac0	gamemisc	game_misc	Unsorted_000	none	286
00413be0	FUN_00413be0	gamemisc	game_misc	Unsorted_000	none	221
00413ce0	FUN_00413ce0	gamemisc	ai	Helpers	caller-vote	260
00413df0	FUN_00413df0	gamemisc	game_misc	Unsorted_000	none	858
00414200	FUN_00414200	gamemisc	game_misc	_helpers_wrapper	role:wrapper	87
00414260	FUN_00414260	gamemisc	game_misc	Unsorted_000	none	185
00414350	FUN_00414350	gamemisc	ai	Helpers	caller-vote	275
00414470	FUN_00414470	gamemisc	game_misc	Unsorted_000	none	223
00414550	FUN_00414550	gamemisc	game_misc	Unsorted_000	none	428
00414720	cube::LookAtPlayerBehavior::LookAtPlayerBehavior	game	ai	LookAtPlayerBehavior	rtti	9
00414730	cube::LookAtPlayerBehavior::vfunction1	game	ai	LookAtPlayerBehavior	rtti	646
004149c0	cube::LookAtPlayerBehavior::vfunction2	game	ai	LookAtPlayerBehavior	rtti	24
004149e0	FUN_004149e0	gamemisc	game_misc	Unsorted_000	none	147
00414a80	FUN_00414a80	gamemisc	game_misc	Unsorted_000	none	149
00414b20	FUN_00414b20	gamemisc	game_misc	Unsorted_000	none	147
00414bc0	FUN_00414bc0	gamemisc	game_misc	Unsorted_000	none	154
00414c60	FUN_00414c60	gamemisc	game_misc	Unsorted_000	none	212
