addr	name	kind	module	class	attributed_by	size
0040be60	FUN_0040be60	gamemisc	engine	_helpers_dtor-like	role:dtor-like	134
0040bef0	FUN_0040bef0	gamemisc	engine	Unsorted	logic:caller-vote	184
0040bfc0	FUN_0040bfc0	gamemisc	game_misc	_helpers_wrapper	role:wrapper	44
0040bff0	FUN_0040bff0	gamemisc	engine	Helpers	caller-vote	168
0040c0a0	FUN_0040c0a0	gamemisc	game_misc	Unsorted_000	none	279
0040c1c0	FUN_0040c1c0	gamemisc	control	Helpers	caller-vote	191
0040c280	FUN_0040c280	gamemisc	game_misc	Unsorted_000	none	247
0040c380	FUN_0040c380	gamemisc	control	Unsorted	logic:caller-vote	12
0040c390	FUN_0040c390	gamemisc	engine	_helpers_dtor-like	role:dtor-like	255
0040c4c0	FUN_0040c4c0	gamemisc	control	Helpers	caller-vote	91
0040c520	FUN_0040c520	gamemisc	control	Unsorted	logic:caller-vote	100
0040c590	FUN_0040c590	gamemisc	game_misc	Unsorted_000	none	112
0040c600	FUN_0040c600	gamemisc	control	Helpers	caller-vote	197
0040c6d0	std::_System_error_category::vfunction4	lib	_library	stl	stl-ns	50
0040c710	std::error_category::vfunction4	lib	_library	stl	stl-ns	18
0040c730	std::error_category::vfunction5	lib	_library	stl	stl-ns	30
0040c750	std::error_category::vfunction6	lib	_library	stl	stl-ns	51
0040c790	FUN_0040c790	gamemisc	audio	Helpers	caller-vote	189
0040c850	FUN_0040c850	gamemisc	audio	Helpers	caller-vote	645
0040cb00	FUN_0040cb00	gamemisc	game_misc	Unsorted_000	none	155
0040cba0	FUN_0040cba0	gamemisc	control	Unsorted	logic:caller-vote	33
0040cbd0	abstr::HelperIdentityClass::vfunction1	game	engine	HelperIdentityClass	rtti	4
0040cbe0	abstr::HelperCmpClass::vfunction1	game	engine	HelperCmpClass	rtti	24
0040cc00	std::basic_filebuf<char,std::char_traits<char>_>::vfunction15	lib	_library	stl	stl-ns	62
0040cc40	FUN_0040cc40	gamemisc	control	Helpers	caller-vote	959
0040d010	FUN_0040d010	gamemisc	control	Helpers	caller-vote	164
0040d0c0	std::_Generic_error_category::vfunction3	lib	_library	stl	stl-ns	113
0040d140	std::_Iostream_error_category::vfunction3	lib	_library	stl	stl-ns	79
0040d190	std::_System_error_category::vfunction3	lib	_library	stl	stl-ns	113
0040d210	std::_Generic_error_category::vfunction2	lib	_library	stl	stl-ns	6
0040d220	std::_Iostream_error_category::vfunction2	lib	_library	stl	stl-ns	6
0040d230	std::_System_error_category::vfunction2	lib	_library	stl	stl-ns	6
0040d240	FUN_0040d240	gamemisc	control	Helpers	caller-vote	269
0040d350	std::basic_filebuf<char,std::char_traits<char>_>::vfunction4	lib	_library	stl	stl-ns	480
