rva	name	size
adbd	?<Dispose>@?QIDisposable@Platform@@?$Array@M$00@2@WM@$AAAXXZ	10
adc7	?__abi_GetRuntimeClassName@?QObject@Platform@@?$WriteOnlyArray@E$00@2@WBA@$AAGJPAPAUHSTRING__@@@Z	10
add1	?GetWeakReference@?QIWeakReferenceSource@Details@Platform@@?$WriteOnlyArray@_N$00@3@WM@$AAAP$AAUIWeakReference@23@XZ	10
addb	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@E$00@2@WBA@$AAGJPAPAUHSTRING__@@@Z	10
ade5	?__abi_GetIids@?QObject@Platform@@?$Array@E$00@2@WBE@$AAGJPAKPAPAVGuid@2@@Z	10
adef	?__abi_Release@?QObject@Platform@@?$WriteOnlyArray@M$00@2@WBA@$AAGKXZ	10
adf9	?__abi_QueryInterface@?QObject@Platform@@?$Array@E$00@2@WCA@$AAGJAAVGuid@2@PAPAX@Z	10
ae03	?__abi_GetTrustLevel@?QObject@Platform@@?$WriteOnlyArray@VTimeSpan@Foundation@Windows@@$00@2@WBA@$AAGJPAW4__abi_TrustLevel@@@Z	10
ae0d	?__abi_Release@?QObject@Platform@@?$Array@VDateTime@Foundation@Windows@@$00@2@WBA@$AAGKXZ	10
ae17	?__abi_QueryInterface@?QObject@Platform@@?$Array@E$00@2@WEA@$AAGJAAVGuid@2@PAPAX@Z	10
ae21	?__abi_AddRef@?QObject@Platform@@?$Array@M$00@2@WBM@$AAGKXZ	10
ae2b	?__abi_AddRef@?QObject@Platform@@?$Array@VDateTime@Foundation@Windows@@$00@2@WDM@$AAGKXZ	10
ae35	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@E$00@2@WBE@$AAGJPAPAUHSTRING__@@@Z	10
ae3f	?__abi_Platform_Details_IWeakReferenceSource____abi_GetWeakReference@?QIWeakReferenceSource@Details@Platform@@?$WriteOnlyArray@I$00@3@WM@$AAGJPAP$AAUIWeakReference@23@@Z	10
ae49	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@E$00@2@W3$AAGJAAVGuid@2@PAPAX@Z	10
ae53	?__abi_GetIids@?QObject@Platform@@?$Array@E$00@2@WBI@$AAGJPAKPAPAVGuid@2@@Z	10
ae5d	?__abi_Platform_IDisposable____abi_<Dispose>@?QIDisposable@Platform@@?$Array@H$00@2@WBE@$AAGJXZ	10
ae67	?__abi_QueryInterface@?QObject@Platform@@?$Array@E$00@2@W3$AAGJAAVGuid@2@PAPAX@Z	10
ae71	?__abi_GetTrustLevel@?QObject@Platform@@?$Array@P$AAVObject@Platform@@$00@2@WBE@$AAGJPAW4__abi_TrustLevel@@@Z	10
ae7b	?__abi_Release@?QObject@Platform@@?$Array@VDateTime@Foundation@Windows@@$00@2@WBE@$AAGKXZ	10
ae85	?__abi_AddRef@?QObject@Platform@@?$Array@VSize@Foundation@Windows@@$00@2@WCA@$AAGKXZ	10
ae8f	?<Dispose>@?QIDisposable@Platform@@?$Array@E$00@2@WBE@$AAAXXZ	10
ae99	?__abi_QueryInterface@?Q__abi_IUnknown@@WeakReferenceSource@Details@Platform@@W3$AAGJAAVGuid@4@PAPAX@Z	10
aea3	?__abi_AddRef@?QObject@Platform@@?$Array@_W$00@2@WEA@$AAGKXZ	10
aead	?__abi_GetRuntimeClassName@?QObject@Platform@@?$Array@E$00@2@WBI@$AAGJPAPAUHSTRING__@@@Z	10
aeb7	?__abi_QueryInterface@?QObject@Platform@@?$WriteOnlyArray@E$00@2@W7$AAGJAAVGuid@2@PAPAX@Z	10
aec1	?__abi_QueryInterface@?QObject@Platform@@?$Array@E$00@2@W7$AAGJAAVGuid@2@PAPAX@Z	10
aecb	?__abi_GetTrustLevel@?QObject@Platform@@?$Array@VDateTime@Foundation@Windows@@$00@2@WBI@$AAGJPAW4__abi_TrustLevel@@@Z	10
aed5	?__abi_Release@?QObject@Platform@@?$Array@VDateTime@Foundation@Windows@@$00@2@WBI@$AAGKXZ	10
aedf	?__abi_AddRef@?QObject@Platform@@?$Array@_W$00@2@W3$AAGKXZ	10
